BusNameMarker 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EarthFaultCompensator 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
PowerSystemResource 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AgriParcel 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VolumeFlowRate 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WindGenTurbineType3IEC 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
UnderexcitationLimiterUserDefined 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Length 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Switch 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AgriSoil 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
OpenChannelJunction 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcIEEEST4B 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WasteContainer 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WaterQualityObserved 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EquipmentVersion 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
UnderexcLimX2 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
OverexcLim2 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Inverter 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
settings-sound 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VoltageLimit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GtfsRoute 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ACDCTerminal 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Museum 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Torque 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ParkingGroup 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Area 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RenderingIndex 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
BodyFatFreeMass 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Terminal 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
OverexcLimX2 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcELIN2 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RestrictedTrafficArea 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AgriFarm 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EnergyGeneration 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GovSteamSGO 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ValueToAlias 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ColourRGB 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SMPost 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ColourCSC 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
LimitSet 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GtfsStop 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Bay 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Device 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
MeasurementValueSource 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcAC4A 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SvInjection 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ReportingGroup 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
DiscExcContIEEEDEC2A 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ParkingSpot 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
BatteryMaterial 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WeatherAlert 	 	 | data 	 	 | Unexpected ClassCastException in 'convertYamlContent'! {description=Payload containing the data retrieved., type=object, x-ngsi={type=Property}} 
WeatherAlert 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GtfsShape 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AccumulatorReset 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WindTurbineType4aIEC 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SelectableLevels 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WindTurbineType3or4Dynamics 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Tank 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Saturation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
TrafficFlowObserved 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ConformLoadGroup 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
